record_id,symbol,event_id,fiscal_period,record_type,status,expected_date,occurred_date,session_timing,source_type,source_url,known_as_of_utc,checked_at_utc,supersedes,notes
A0001,MSFT,MSFT-FY26Q3,FY26Q3,assertion,occurred,,2026-04-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/789019/000119312526191457/,2026-04-29T20:03:31+00:00,2026-07-10T21:39:59+00:00,,SEC 8-K item 2.02 acceptanceDateTime is the publication timestamp (true point-in-time known_as_of)
A0002,AMZN,AMZN-2026Q1,2026Q1,assertion,occurred,,2026-04-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000012/,2026-04-29T20:18:55+00:00,2026-07-10T21:39:59+00:00,,SEC 8-K item 2.02 acceptanceDateTime
A0003,VST,VST-2026Q1,2026Q1,assertion,occurred,,2026-05-07,bmo,sec_filing,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000011/,2026-05-07T11:01:21+00:00,2026-07-10T21:39:59+00:00,,SEC 8-K item 2.02 acceptanceDateTime
A0004,CEG,CEG-2026Q1,2026Q1,assertion,occurred,,2026-05-11,bmo,sec_filing,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000063/,2026-05-11T10:59:49+00:00,2026-07-10T21:39:59+00:00,,SEC 8-K item 2.02 acceptanceDateTime
A0005,MSFT,MSFT-FY26Q4,FY26Q4,assertion,confirmed,2026-07-29,,amc,company_pr,https://news.microsoft.com/source/2026/07/08/microsoft-announces-quarterly-earnings-release-date-68/,2026-07-08T23:59:59+00:00,2026-07-10T21:39:59+00:00,,company announcement published 2026-07-08; intraday publication time not retained so end-of-day UTC used (conservative-late known_as_of)
A0006,AMZN,AMZN-2026Q2,2026Q2,assertion,estimated,2026-07-30,,amc,aggregator,https://www.nasdaq.com/market-activity/stocks/amzn/earnings,2026-07-10T21:39:59+00:00,2026-07-10T21:39:59+00:00,,aggregator estimate (Nasdaq/TipRanks agree); NO official Amazon PR found as of check time; known_as_of = retrieval time (disclosed limitation)
A0007,VST,VST-2026Q2,2026Q2,assertion,confirmed,2026-08-07,,bmo,company_pr,https://www.tradingview.com/news/prnewswire:9fad74687bbac:0-vistra-to-report-second-quarter-results-on-aug-7-2026/,2026-07-10T21:39:59+00:00,2026-07-10T21:39:59+00:00,,company PR via PR Newswire distribution copy; publication time not retained -- known_as_of = retrieval time (disclosed limitation)
A0008,CEG,CEG-2026Q2,2026Q2,assertion,confirmed,2026-08-06,,bmo,company_ir,https://investors.constellationenergy.com/events/event-details/q2-2026-constellation-energy-corporation-earnings-conference-call,2026-07-10T21:39:59+00:00,2026-07-10T21:39:59+00:00,,company IR events page; direct fetch timed out -- date read via search index of the company page; known_as_of = retrieval time (disclosed limitation)
A0009,NOW,NOW-8K-2018-01-31,,assertion,occurred,,2018-01-31,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000115752318000166/,2018-01-31T21:26:03+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0010,NOW,NOW-8K-2018-04-19,,assertion,occurred,,2018-04-19,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000115752318000805/,2018-04-25T20:10:53+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0011,NOW,NOW-8K-2018-07-25,,assertion,occurred,,2018-07-25,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000153/,2018-07-25T20:16:09+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0012,NOW,NOW-8K-2018-10-24,,assertion,occurred,,2018-10-24,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000191/,2018-10-24T20:12:29+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0013,NOW,NOW-8K-2019-01-29,,assertion,occurred,,2019-01-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000006/,2019-01-30T21:12:25+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
A0014,NOW,NOW-8K-2019-04-18,,assertion,occurred,,2019-04-18,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000105/,2019-04-24T20:13:10+00:00,2026-07-11T13:21:42.228577+00:00,,SEC EDGAR 8-K item 2.02; acceptanceDateTime is the point-in-time known_as_of (7b-2R bounded collection pass)
