record_id,symbol,event_id,fiscal_period,record_type,event_class,status,expected_date,occurred_date,session_timing,source_type,source_url,known_as_of_utc,checked_at_utc,supersedes,promoted_from,notes
G0001,MSFT,MSFT-FY26Q3,FY26Q3,assertion,actual_quarterly_earnings,occurred,,2026-04-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/789019/000119312526191457/,2026-04-29T20:03:31+00:00,2026-07-10T21:39:59+00:00,,A0001,manually verified FY26Q3 earnings release 8-K (item 2.02); acceptanceDateTime is the point-in-time known_as_of
G0002,AMZN,AMZN-2026Q1,2026Q1,assertion,actual_quarterly_earnings,occurred,,2026-04-29,amc,sec_filing,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000012/,2026-04-29T20:18:55+00:00,2026-07-10T21:39:59+00:00,,A0002,manually verified Q1 2026 earnings release 8-K
G0003,VST,VST-2026Q1,2026Q1,assertion,actual_quarterly_earnings,occurred,,2026-05-07,bmo,sec_filing,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000011/,2026-05-07T11:01:21+00:00,2026-07-10T21:39:59+00:00,,A0003,manually verified Q1 2026 earnings release 8-K
G0004,CEG,CEG-2026Q1,2026Q1,assertion,actual_quarterly_earnings,occurred,,2026-05-11,bmo,sec_filing,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000063/,2026-05-11T10:59:49+00:00,2026-07-10T21:39:59+00:00,,A0004,manually verified Q1 2026 earnings release 8-K
G0005,MSFT,MSFT-FY26Q4,FY26Q4,assertion,actual_quarterly_earnings,confirmed,2026-07-29,,amc,company_pr,https://news.microsoft.com/source/2026/07/08/microsoft-announces-quarterly-earnings-release-date-68/,2026-07-08T23:59:59+00:00,2026-07-10T21:39:59+00:00,,A0005,company announcement published 2026-07-08; intraday publication time not retained so end-of-day UTC used (conservative-late known_as_of)
G0006,AMZN,AMZN-2026Q2,2026Q2,assertion,actual_quarterly_earnings,estimated,2026-07-30,,amc,aggregator,https://www.nasdaq.com/market-activity/stocks/amzn/earnings,2026-07-10T21:39:59+00:00,2026-07-10T21:39:59+00:00,,A0006,aggregator estimate; NO official Amazon PR found as of check time; known_as_of = retrieval time (disclosed limitation)
G0007,VST,VST-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-08-07,,bmo,company_pr,https://www.tradingview.com/news/prnewswire:9fad74687bbac:0-vistra-to-report-second-quarter-results-on-aug-7-2026/,2026-07-10T21:39:59+00:00,2026-07-10T21:39:59+00:00,,A0007,company PR via PR Newswire distribution copy; publication time not retained -- known_as_of = retrieval time (disclosed limitation)
G0008,CEG,CEG-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-08-06,,bmo,company_ir,https://investors.constellationenergy.com/events/event-details/q2-2026-constellation-energy-corporation-earnings-conference-call,2026-07-10T21:39:59+00:00,2026-07-10T21:39:59+00:00,,A0008,company IR events page; direct fetch timed out -- date read via search index; known_as_of = retrieval time (disclosed limitation)
G0009,NOW,NOW-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-07-22,,amc,company_pr,https://newsroom.servicenow.com/press-releases/details/2026/ServiceNow-to-Announce-Second-Quarter-2026-Financial-Results-on-July-22/default.aspx,2026-07-01T23:59:59+00:00,2026-07-12T14:12:50.587242+00:00,,A0263,owner-approved 2026-07-12 worksheet row 1; scheduled quarterly report classified actual_quarterly_earnings
G0010,AMD,AMD-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-08-04,,amc,company_pr,https://www.amd.com/en/newsroom/press-releases/2026-7-8-amd-to-report-fiscal-second-quarter-2026-financial.html,2026-07-08T23:59:59+00:00,2026-07-12T14:13:45.493932+00:00,,A0264,owner-approved 2026-07-12 worksheet row 2; scheduled quarterly report classified actual_quarterly_earnings
G0011,TEM,TEM-2026Q2,2026Q2,assertion,actual_quarterly_earnings,confirmed,2026-07-30,,amc,company_pr,https://www.stocktitan.net/news/TEM/tempus-to-report-second-quarter-2026-financial-results-on-july-d1i8ds91xrhr.html,2026-07-09T13:00:00+00:00,2026-07-12T14:14:30.396815+00:00,,A0265,owner-approved 2026-07-12 worksheet row 3; scheduled quarterly report classified actual_quarterly_earnings
G0012,PLTR,PLTR-2026Q2,2026Q2,assertion,actual_quarterly_earnings,estimated,2026-08-03,,amc,aggregator,https://www.wallstreethorizon.com/palantir-earnings-calendar,2026-07-12T14:01:17+00:00,2026-07-12T14:15:33.512250+00:00,,A0266,owner-approved 2026-07-12 worksheet row 4; scheduled quarterly report (aggregator estimate) classified actual_quarterly_earnings
G0013,NVDA,NVDA-FY27Q2,FY27Q2,assertion,actual_quarterly_earnings,estimated,2026-08-26,,amc,aggregator,https://www.wallstreethorizon.com/nvidia-earnings-calendar,2026-07-12T14:01:17+00:00,2026-07-12T14:16:19.842087+00:00,,A0267,owner-approved 2026-07-12 worksheet row 5; scheduled quarterly report (aggregator estimate) classified actual_quarterly_earnings
