record_id,symbol,occurred_date,event_class,evidence_url,evidence_note,checked_at_utc
A0001,MSFT,2026-04-29,quarterly_results,https://www.sec.gov/Archives/edgar/data/789019/000119312526191457/msft-20260429.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0002,AMZN,2026-04-29,quarterly_results,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000012/amzn-20260429.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0003,VST,2026-05-07,quarterly_results,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000011/vistra-20260507.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0004,CEG,2026-05-11,quarterly_results,https://www.sec.gov/Archives/edgar/data/1168165/000186827526000063/ceg-20260511.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0009,NOW,2018-01-31,quarterly_results,https://www.sec.gov/Archives/edgar/data/1373715/000115752318000166/a51751387.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0010,NOW,2018-04-19,quarterly_results,https://www.sec.gov/Archives/edgar/data/1373715/000115752318000805/a51794662.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0011,NOW,2018-07-25,quarterly_results,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000153/erq2fy18-8xk.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0012,NOW,2018-10-24,quarterly_results,https://www.sec.gov/Archives/edgar/data/1373715/000137371518000191/erq3fy18-8xk.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0013,NOW,2019-01-29,quarterly_results,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000006/erq4fy18-8xk.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
A0014,NOW,2019-04-18,quarterly_results,https://www.sec.gov/Archives/edgar/data/1373715/000137371519000105/erq1fy19-8xk.htm,primary doc Item 2.02: definitive financial-results announcement for a completed fiscal period; no preliminary/business-update/guidance-only language found,2026-07-17T00:00:00+00:00
