expiration,dte,includes_aug_11_earnings,atm_strike,call_bid,call_ask,put_bid,put_ask,straddle_mid,implied_move_pct,expiration_range_low,expiration_range_high,atm_iv,total_open_interest,ntm_contracts,ntm_median_spread_pct,ntm_execution_liquid,ntm_admission_liquid
2026-07-31,3,False,65.0,3.25,3.5500000000000003,3.0500000000000003,3.25,6.550000000000001,0.10011463507833399,58.875,71.975,1.3326512621306947,133723,26,0.07145527920679748,18,2
2026-08-07,10,False,65.0,5.0,5.2,4.6000000000000005,4.9,9.85,0.15055406954528086,55.574999999999996,75.27499999999999,1.1308985666923896,41446,30,0.07657406114756388,10,1
2026-08-14,17,True,65.0,6.75,7.45,6.4,6.9,13.75,0.21016431027894536,51.675,79.175,1.2195122443682072,49831,22,0.09847610251673986,3,0
2026-08-21,24,True,65.0,7.7,8.15,7.3,7.7,15.425,0.23576614444019872,50.0,80.85,1.1551924124395998,278223,28,0.0598370927318296,14,5
2026-08-28,31,True,65.0,8.35,9.5,7.9,8.700000000000001,17.225,0.2632785632403516,48.199999999999996,82.65,1.1378616187032446,8227,8,0.12324929971988796,3,0
2026-09-04,38,True,65.0,8.3,11.450000000000001,6.65,9.15,17.775,0.27168513565150937,47.65,83.19999999999999,1.062076847518694,1287,8,0.2580155338762128,0,0
2026-09-18,52,True,65.0,10.3,10.85,9.700000000000001,10.0,20.425,0.3121895299961789,45.0,85.85,1.0465367801987244,241704,10,0.045422504185390754,9,5
2026-10-16,80,True,65.0,12.1,13.65,11.15,11.9,24.4,0.372946121513183,41.025,89.82499999999999,1.0130737371390581,120012,8,0.0771880189433544,4,0
2026-11-20,115,True,65.0,14.8,15.8,13.35,14.05,29.0,0.4432556362246848,36.425,94.425,1.0103023650582452,63044,6,0.07940871052470833,3,0
2026-12-18,143,True,65.0,15.950000000000001,16.65,14.4,15.05,31.025000000000002,0.4742071073748568,34.39999999999999,96.45,0.9727444089035702,116113,10,0.04646155120294841,8,4
2027-01-15,171,True,65.0,17.2,17.8,15.4,16.1,33.25,0.5082155139472679,32.175,98.675,0.9570597554895993,276317,10,0.06887907465825449,7,2
2027-02-19,206,True,65.0,17.75,20.95,15.3,17.85,35.925000000000004,0.5491020252197173,29.499999999999993,101.35,0.9468545149642815,251,6,0.15330380547771852,0,0
2027-03-19,234,True,65.0,20.0,21.400000000000002,16.95,18.400000000000002,38.375,0.5865494841421475,27.049999999999997,103.8,0.9534238617668438,47593,8,0.07483481267381409,4,0
2027-06-17,324,True,65.0,22.45,24.35,20.25,20.900000000000002,43.975,0.6721436759648453,21.449999999999996,109.4,0.9402373246658491,80313,10,0.08198680862232272,7,2
2027-09-17,416,True,65.0,24.8,26.6,21.1,22.900000000000002,47.7,0.7290790982040505,17.724999999999994,113.125,0.9098389468287942,21788,8,0.0726763590186087,3,1
2027-12-17,507,True,65.0,27.150000000000002,30.3,23.0,24.8,52.625,0.804356132976691,12.799999999999997,118.05,0.922001518002968,45655,10,0.0993097666156151,3,0
2028-01-21,542,True,65.0,27.95,30.25,24.35,26.2,54.375,0.8311043179212839,11.049999999999997,119.8,0.9263069405760792,157262,10,0.08835117210585064,5,0
2028-06-16,689,True,65.0,31.2,34.5,25.75,27.45,59.45,0.9086740542606039,5.974999999999994,124.875,0.91577656611391,27928,8,0.06952166038433583,3,0
2028-12-15,871,True,65.0,34.1,37.5,27.55,29.7,64.425,0.9847153228888039,1.0,129.85,0.9028243595054195,83063,8,0.07291804291315276,6,1
