expiration,dte,earnings,atm_strike,call_bid,call_ask,put_bid,put_ask,straddle_mid,implied_move_pct,range_low,range_high,atm_iv,total_open_interest,execution_liquid,strict_liquid
2026-07-31,3,Before earnings,65.0,3.25,3.55,3.05,3.25,6.55,0.1001146350783339,58.88,71.97,1.3326512621306947,133723,18,2
2026-08-07,10,Before earnings,65.0,5.0,5.2,4.6,4.9,9.85,0.1505540695452808,55.58,75.27,1.1308985666923896,41446,10,1
2026-08-14,17,Includes Aug 11,65.0,6.75,7.45,6.4,6.9,13.75,0.2101643102789453,51.67,79.17,1.2195122443682072,49831,3,0
2026-08-21,24,Includes Aug 11,65.0,7.7,8.15,7.3,7.7,15.43,0.2357661444401987,50.0,80.85,1.1551924124395998,278223,14,5
2026-08-28,31,Includes Aug 11,65.0,8.35,9.5,7.9,8.7,17.23,0.2632785632403516,48.2,82.65,1.1378616187032446,8227,3,0
2026-09-04,38,Includes Aug 11,65.0,8.3,11.45,6.65,9.15,17.77,0.2716851356515093,47.65,83.2,1.062076847518694,1287,0,0
2026-09-18,52,Includes Aug 11,65.0,10.3,10.85,9.7,10.0,20.43,0.3121895299961789,45.0,85.85,1.0465367801987244,241704,9,5
2026-10-16,80,Includes Aug 11,65.0,12.1,13.65,11.15,11.9,24.4,0.372946121513183,41.02,89.82,1.013073737139058,120012,4,0
2026-11-20,115,Includes Aug 11,65.0,14.8,15.8,13.35,14.05,29.0,0.4432556362246848,36.42,94.42,1.0103023650582452,63044,3,0
2026-12-18,143,Includes Aug 11,65.0,15.95,16.65,14.4,15.05,31.02,0.4742071073748568,34.4,96.45,0.9727444089035702,116113,8,4
2027-01-15,171,Includes Aug 11,65.0,17.2,17.8,15.4,16.1,33.25,0.5082155139472679,32.17,98.67,0.9570597554895992,276317,7,2
2027-02-19,206,Includes Aug 11,65.0,17.75,20.95,15.3,17.85,35.93,0.5491020252197173,29.5,101.35,0.9468545149642816,251,0,0
2027-03-19,234,Includes Aug 11,65.0,20.0,21.4,16.95,18.4,38.38,0.5865494841421475,27.05,103.8,0.9534238617668438,47593,4,0
2027-06-17,324,Includes Aug 11,65.0,22.45,24.35,20.25,20.9,43.98,0.6721436759648453,21.45,109.4,0.9402373246658492,80313,7,2
2027-09-17,416,Includes Aug 11,65.0,24.8,26.6,21.1,22.9,47.7,0.7290790982040505,17.72,113.12,0.9098389468287942,21788,3,1
2027-12-17,507,Includes Aug 11,65.0,27.15,30.3,23.0,24.8,52.62,0.804356132976691,12.8,118.05,0.922001518002968,45655,3,0
2028-01-21,542,Includes Aug 11,65.0,27.95,30.25,24.35,26.2,54.38,0.8311043179212839,11.05,119.8,0.9263069405760792,157262,5,0
2028-06-16,689,Includes Aug 11,65.0,31.2,34.5,25.75,27.45,59.45,0.908674054260604,5.97,124.88,0.91577656611391,27928,3,0
2028-12-15,871,Includes Aug 11,65.0,34.1,37.5,27.55,29.7,64.42,0.984715322888804,1.0,129.85,0.9028243595054196,83063,6,1
